ROI,Diffusivity,Min,Q1,Median,Mean,Q3,Max
normal_pz_s2,0.25,0.05261083672493388,0.05827270373723564,0.05946303518255754,0.059457992922603335,0.06071771905462563,0.0653824799788201
normal_pz_s2,0.5,0.011623023241377482,0.02344110527664959,0.026307771115225146,0.02641200755403835,0.029178988697385833,0.04304320461915651
normal_pz_s2,0.75,0.010667991778189374,0.020744119597207518,0.023554994070206458,0.023618210695107205,0.026415208347746175,0.0379398575842089
normal_pz_s2,1.0,0.012691567056935487,0.0239226690178236,0.026972539671546523,0.027428747298681225,0.03059942534801031,0.045475193892297094
normal_pz_s2,1.25,0.01703583769200037,0.031047951203067005,0.035619231665542886,0.0358019505128373,0.04044889681758479,0.056020506306252084
normal_pz_s2,1.5,0.025774496698444574,0.040736071159847495,0.04607462222059601,0.04681715259620649,0.05230261449094001,0.0803208793163984
normal_pz_s2,2.0,0.10917404081954366,0.14434711596357208,0.1575269649494547,0.15748524030180866,0.17062355435910181,0.2006264446914402
normal_pz_s2,2.5,0.1756645350079829,0.2183307504638988,0.23976808398707966,0.24156552223108058,0.2637233684325199,0.3136271184560262
normal_pz_s2,3.0,0.26114928842162954,0.3154388208442437,0.3303475033345551,0.3284139250011587,0.34398990691658093,0.38035831323922004
normal_pz_s2,20.0,0.045441621936047207,0.05161094555759749,0.0529642444827773,0.0529992508864782,0.05434592731383445,0.06118155203813173
normal_tz_s3,0.25,0.07773159836508278,0.08716216509263461,0.08914173590485147,0.08907392519971832,0.09122614396328949,0.09990988020779824
normal_tz_s3,0.5,0.006956151730634897,0.024065591238075845,0.029277109846192292,0.029437573018690193,0.03408598720878657,0.05277964174846907
normal_tz_s3,0.75,0.00914523210472481,0.025229631253060457,0.0291285126493969,0.029499682760913953,0.03402612031600658,0.05244564200384902
normal_tz_s3,1.0,0.013695161133322992,0.031000463634963584,0.03658544822635376,0.037499991458131605,0.04322464740569895,0.07708580052124415
normal_tz_s3,1.25,0.023256726197173276,0.048238541369139576,0.05870869222103295,0.058646037321107666,0.06823448110865249,0.10529332829674999
normal_tz_s3,1.5,0.03339692872876749,0.06973479342264106,0.07931263922075762,0.08068787227379583,0.0908678025484904,0.1431797449866477
normal_tz_s3,2.0,0.11418501501459243,0.16431171190448038,0.17949902041536359,0.17944857541374334,0.19486399770652607,0.25556576116339513
normal_tz_s3,2.5,0.11891082688336482,0.1986889708986525,0.22106650693551805,0.22199649380245848,0.245506528932427,0.3012031982024862
normal_tz_s3,3.0,0.14107191977464645,0.1790398403759087,0.19856401230248116,0.1995254933570881,0.2162513686572325,0.2827829105872721
normal_tz_s3,20.0,0.06521849541110172,0.07226333181786332,0.07413264088081195,0.07418435539435246,0.0760527948390028,0.0853587925211315
tumor_pz_s1,0.25,0.1687196906343106,0.176987308799314,0.1786089298337538,0.17862014687187058,0.18031598446294966,0.1875645318319776
tumor_pz_s1,0.5,0.016124369542192367,0.029935157311354692,0.0336332099275148,0.03372368178815402,0.03723339794971141,0.053834507406358145
tumor_pz_s1,0.75,0.01361791395375999,0.027352892437750034,0.031209065521181273,0.03166435940995843,0.035400724272448406,0.05720482312423037
tumor_pz_s1,1.0,0.01989359580290655,0.04030045401796056,0.045158615024760373,0.045593172484248566,0.050449961142407004,0.08163226989557588
tumor_pz_s1,1.25,0.03901545843004749,0.06212740055695273,0.0708760992119209,0.07150923531220374,0.0797135669476093,0.12044607222888146
tumor_pz_s1,1.5,0.07426495374599375,0.11602170740781662,0.1255276172926174,0.12543983035134476,0.1356772810783417,0.16773098922665708
tumor_pz_s1,2.0,0.13067879795074638,0.17170917236529454,0.1856908255604209,0.18664117922372941,0.2007697758784357,0.2563378210144474
tumor_pz_s1,2.5,0.10195467977480922,0.14581718978703886,0.1581468801331719,0.15819804150634353,0.16978461704928607,0.21546461456321944
tumor_pz_s1,3.0,0.07662861237729036,0.1050391414319698,0.11508243720463361,0.1150105559714925,0.12524459088000556,0.1541764811768709
tumor_pz_s1,20.0,0.04430005317463416,0.052155252836973046,0.05359741250704966,0.05359979708065446,0.055026662216459014,0.06286795555213827
tumor_tz_s1,0.25,0.25256247158821477,0.26481647105817474,0.26687594562419037,0.2669078826699106,0.26897469109599315,0.2795155178004442
tumor_tz_s1,0.5,0.0104222435218392,0.0316794509061317,0.03707670540643829,0.036908064680152695,0.041911838751368544,0.0729939080643842
tumor_tz_s1,0.75,0.013949993047085416,0.03271007939695039,0.0380326773966634,0.03827976872538034,0.043622639461351476,0.07377334618027592
tumor_tz_s1,1.0,0.024060794756991823,0.04895052418702328,0.05811743300467115,0.058455075700902456,0.06737363332481419,0.10641200016436313
tumor_tz_s1,1.25,0.05118179650602592,0.08830056585226384,0.10203509792002918,0.10251014055531352,0.11655396868286715,0.1547493795246209
tumor_tz_s1,1.5,0.06251795013305335,0.10190983117876995,0.11567760317307868,0.11613729654111529,0.13078135628229118,0.1789539440793902
tumor_tz_s1,2.0,0.057539950306988615,0.11040500094589946,0.12898022974030035,0.13010999404129078,0.14806189690827304,0.2086731479855836
tumor_tz_s1,2.5,0.045674259410764126,0.08107260011892883,0.09383547847940549,0.09558900802273201,0.10962266578300817,0.1534315508622948
tumor_tz_s1,3.0,0.023493109425616297,0.06521461315100428,0.07695370487530673,0.07733034078273743,0.08928472472803461,0.1369460310735336
tumor_tz_s1,20.0,0.06516942894942414,0.07579516422147421,0.07784332470131043,0.07777242828046484,0.07981142804933408,0.08841146809863175
