zone,features,C,operating_point,r_pearson,p_pearson,r_spearman,p_spearman,sensitivity,lr_coefs
PZ,MAP,1.0,tumor,-0.8321702633942964,0.010380438468635548,-1.0,0.0,"[-1.7435027490209087, -1.1347213153811708, -0.6582420269896083, -0.2858286178875069, 0.23088757726386078, 0.5421095384838814, 0.8322890591316856, 0.804102691345232]","[1.617823237340837, 0.3968490431971495, 0.38438262743744517, 0.3496700584058751, 0.21071826671674548, 0.05774206028161902, -1.2215213617050438, -0.02803119141852479]"
PZ,MAP,1.0,normal,-0.8259253894351604,0.011525305336285804,-0.9761904761904763,3.3143960262001043e-05,"[-3.756378120751691, -2.712281525769633, -1.893373284078681, -1.2515645551358645, -0.3561433201060282, 0.18942510978225968, 0.713684601700848, 0.8047830886082075]","[1.617823237340837, 0.3968490431971495, 0.38438262743744517, 0.3496700584058751, 0.21071826671674548, 0.05774206028161902, -1.2215213617050438, -0.02803119141852479]"
TZ,MAP,1.0,tumor,-0.8289903601893662,0.010953932156261616,-0.7857142857142858,0.020815127253525276,"[-1.18490936774851, -0.6965762945476683, -0.3149171222238678, -0.017160294727425196, 0.3944793115517875, 0.6405633671557887, 0.8655088172671022, 0.8039092700840023]","[1.5083660322647383, 0.08431888102607613, -0.013835443353346563, 0.4087058685907086, 0.306630967669661, -0.8080255090006648, -1.0655359335340802, -0.37305346016895036]"
TZ,MAP,1.0,normal,-0.8237806694601844,0.011936110891236137,-0.7380952380952381,0.03655276105286081,"[-2.7454768030144017, -1.9183200424244262, -1.2701111270629895, -0.7626496646828684, -0.056254468125960244, 0.37211994711405794, 0.7787410943582707, 0.8045437560877389]","[1.5083660322647383, 0.08431888102607613, -0.013835443353346563, 0.4087058685907086, 0.306630967669661, -0.8080255090006648, -1.0655359335340802, -0.37305346016895036]"
PZ,NUTS,1.0,tumor,-0.7881584912101788,0.020150805763991923,-0.8571428571428572,0.006530017254715292,"[-1.7368081206337038, -1.1292761451509037, -0.6537832390907106, -0.28215062636949284, 0.23345139447350505, 0.543959701582164, 0.8333594255538479, 0.804113337014023]","[1.6594174401209407, 0.29740444343711736, 0.25722530147555694, 0.24713624394872336, 0.3248434941889996, 0.23148328211703859, -1.0308326278199618, -0.028465264881185927]"
PZ,NUTS,1.0,normal,-0.782790323830623,0.02162754868451586,-0.8333333333333335,0.01017554012345675,"[-3.7591327214370196, -2.714782106350011, -1.8956216001209114, -1.2535708835037518, -0.357714697514222, 0.18821257714574102, 0.7129774717307136, 0.8047805476985026]","[1.6594174401209407, 0.29740444343711736, 0.25722530147555694, 0.24713624394872336, 0.3248434941889996, 0.23148328211703859, -1.0308326278199618, -0.028465264881185927]"
TZ,NUTS,1.0,tumor,-0.8825709018248782,0.0037000856137720203,-0.9047619047619048,0.0020082755054294677,"[-1.1851484769254128, -0.6967419191550306, -0.315021764951684, -0.017214774674645383, 0.3944986279669216, 0.6406293912664118, 0.8656165863385468, 0.8039122121172859]","[1.5658110861335333, 0.1968000840717942, 0.3054130823564697, 0.49284404938268095, -0.04678629345675612, -0.2635056102893221, -1.0424174023724913, -0.29728351436461825]"
TZ,NUTS,1.0,normal,-0.8777067915799357,0.004163304303582041,-0.880952380952381,0.0038503204637324014,"[-2.745961755843407, -1.9187757134120353, -1.270531952766163, -0.7630332894592584, -0.056564534665071164, 0.3718754553183601, 0.7785947550043026, 0.8045432354797377]","[1.5658110861335333, 0.1968000840717942, 0.3054130823564697, 0.49284404938268095, -0.04678629345675612, -0.2635056102893221, -1.0424174023724913, -0.29728351436461825]"
