zone,task,n,n_pos,n_neg,c,intercept_std,w_norm_raw,w_norm_raw_ci_lo,w_norm_raw_ci_hi,cos_w_Dvec_raw,cos_w_Dvec_raw_ci_lo,cos_w_Dvec_raw_ci_hi,cos_w_Dvec_raw_nofree,cos_w_Dvec_raw_nofree_ci_lo,cos_w_Dvec_raw_nofree_ci_hi,cos_w_Dvec_std,w_raw_D_0.25,w_std_D_0.25,w_raw_D_0.50,w_std_D_0.50,w_raw_D_0.75,w_std_D_0.75,w_raw_D_1.00,w_std_D_1.00,w_raw_D_1.50,w_std_D_1.50,w_raw_D_2.00,w_std_D_2.00,w_raw_D_3.00,w_std_D_3.00,w_raw_D_20.00,w_std_D_20.00
pooled,tumor_vs_normal,149,40,109,1.0,-1.6696368866984928,43.84781694363173,32.435806877021655,78.99810261808027,-0.21651864235502585,-0.43146185979824675,0.022069988103528216,0.1408329743057594,-0.037196538485758115,0.2475879650557644,-0.20666924954832436,22.699825118698087,1.9403028773249393,-6.169199306048073,-0.12039890971449073,23.687467489893535,0.45027477092527624,25.312440721188153,0.6133620935317895,-2.712860670227102,-0.12128356305949842,1.0107227935548957,0.09921875561079359,-6.291017277696247,-1.0509317628940835,-10.932343157202858,-0.41401993487303607
pooled,ggg_ge_3,29,9,20,1.0,-1.0795216945609034,25.256371939799863,19.26459666996141,62.18393467395328,-0.8469011820122642,-0.8937345279463725,-0.23926884094155404,-0.3482331872023137,-0.604489661540277,0.19055857816036037,-0.6215423445436776,7.8620676354299235,0.9227737856786357,5.480904532309939,0.12290716608452962,2.3725818596411554,0.05060277862817607,-2.173269326273128,-0.05992174982749259,-6.317824001360951,-0.34561419040313734,-7.913488772453585,-0.6737890155883627,0.12358404895940694,0.013169908406998517,-20.811683729070143,-0.860958268609616
pz,tumor_vs_normal,81,27,54,1.0,-1.3245041739978611,31.521509562160265,27.36101737242411,60.223592346629616,0.01688401305363657,-0.3715528098885633,0.6184464787892604,0.2261722266282855,-0.0006914075256585263,0.33978067869044837,-0.04084505607014714,20.931596641333872,1.6594174401209398,14.293963199268026,0.297404443437122,12.97852166992966,0.2572253014755527,10.195372487569347,0.2471362439487228,6.380048645196665,0.3248434941890014,2.286474345186045,0.23148328211703884,-5.654116797055193,-1.0308326278199615,-0.9310079922866706,-0.028465264881186378
pz,ggg_ge_3,21,4,17,1.0,-1.9143187270540734,19.7571141838352,16.31085109972213,81.38134517581429,-0.7060895997453652,-0.8746809936814852,0.23965701505445366,-0.258628986040567,-0.578065067909382,0.2950325807670165,-0.40239457513370425,7.8105223303473075,0.7570813570113575,2.1423265588391214,0.045260074723616886,2.8511660475394884,0.055175446894665456,1.347158622219613,0.031189166671684733,-3.4601136503523273,-0.20216111373047588,-10.888452597802942,-0.8711922403200282,1.6637061531251867,0.1888615102037838,-13.472455229822636,-0.4650630931950628
tz,tumor_vs_normal,68,13,55,1.0,-2.254563650536881,36.699378469937905,29.326786904614217,69.8359446423895,-0.17538139219088897,-0.5254936497143885,0.16994060742258135,0.07139149580994793,-0.200067862352465,0.24846852264632294,-0.20520102730401069,17.25770591409848,1.5658110861335328,11.414691510096718,0.1968000840717929,17.715187885901393,0.3054130823564699,21.60736515417628,0.49284404938268095,-1.4826002403241343,-0.04678629345675595,-2.8423731236864636,-0.2635056102893224,-8.789903569002268,-1.042417402372492,-7.104581652260475,-0.2972835143646184
