block,feature_set,n_features,feature_cols,zone,n,spearman_rho,spearman_p,rho_ci_lo,rho_ci_hi,adc_rho,abs_rho_gt_abs_adc,abs_rho
A_mu,mu{0.25},1,nuts_D_0.25,pz,21,0.31936942112320676,0.15818745386208796,-0.17575521745902328,0.6913481527139373,-0.4801069979082933,False,0.31936942112320676
A_mu,mu{0.25},1,nuts_D_0.25,tz,8,0.5646829085612719,0.1447623093054763,-0.19499916722002705,0.9289853059279987,-0.6137857701752955,False,0.5646829085612719
A_mu,mu{0.25},1,nuts_D_0.25,pooled,29,0.43689783236992713,0.017799572406751302,0.05455244951357598,0.7123761866405575,-0.5462518568421153,False,0.43689783236992713
A_mu,mu{0.50},1,nuts_D_0.50,pz,21,0.5755668688374276,0.006331075736680991,0.2888517126943024,0.7782497644758836,-0.4801069979082933,True,0.5755668688374276
A_mu,mu{0.50},1,nuts_D_0.50,tz,8,0.3068928850876477,0.4596851913195994,-0.5773502691896256,0.8990722639250549,-0.6137857701752955,False,0.3068928850876477
A_mu,mu{0.50},1,nuts_D_0.50,pooled,29,0.5651685482792475,0.0014004113698141431,0.28660660234616153,0.7567459209445155,-0.5462518568421153,True,0.5651685482792475
A_mu,mu{0.75},1,nuts_D_0.75,pz,21,0.530644576635482,0.01332957527007828,0.17661846486409363,0.7783396574272125,-0.4801069979082933,True,0.530644576635482
A_mu,mu{0.75},1,nuts_D_0.75,tz,8,-0.03682714621051773,0.9310115084540986,-0.8203631476617221,0.6979808364080088,-0.6137857701752955,False,0.03682714621051773
A_mu,mu{0.75},1,nuts_D_0.75,pooled,29,0.51204633259963,0.0045174412501176806,0.22656853863595902,0.7158086241212637,-0.5462518568421153,False,0.51204633259963
A_mu,mu{1.00},1,nuts_D_1.00,pz,21,0.26953375321167344,0.23738394800748708,-0.21799877810589657,0.6609365816369026,-0.4801069979082933,False,0.26953375321167344
