component,D_um2_ms,mean_fraction,mean_posterior_std,mean_CV
D_0.25,0.25,0.10403882456084855,0.014531837295126556,0.1978013175649845
D_0.50,0.5,0.038144338310912324,0.030493093722650997,0.8143295361519475
D_0.75,0.75,0.0389105945228964,0.03167728628100873,0.827741275533507
D_1.00,1.0,0.051547409096546336,0.04099464782786042,0.8112313165609594
D_1.50,1.5,0.11585529709020627,0.082576892339177,0.7356102129077784
D_2.00,2.0,0.25639191003972106,0.12097564261706947,0.5165976370746866
D_3.00,3.0,0.3331507216554246,0.0776954039041195,0.3217168212208079
D_20.00,20.0,0.06196090472344452,0.01579728279669739,0.359969406931028
