zone,features,C,r_adc_disc,p_value,n
PZ,MAP,1.0,-0.97216575024094,1.4957424942046106e-51,81
PZ,MAP,10.0,-0.9590196140946765,5.03203466404477e-45,81
TZ,MAP,1.0,-0.967474258164644,4.045246412955686e-41,68
TZ,MAP,10.0,-0.9628942082494264,2.9081572550369018e-39,68
PZ,NUTS,1.0,-0.9772699429633647,5.5183858439047535e-55,81
PZ,NUTS,10.0,-0.9740943986539935,9.097993467767663e-53,81
TZ,NUTS,1.0,-0.9805586313264949,2.0930226928275556e-48,68
TZ,NUTS,10.0,-0.9737920562877562,3.588744195010217e-44,68
