zone,c,cos_wT_wG_raw,cos_wT_wG_raw_ci_lo,cos_wT_wG_raw_ci_hi,cos_wT_wG_raw_nofree,cos_wT_wG_raw_nofree_ci_lo,cos_wT_wG_raw_nofree_ci_hi,cos_wT_wG_std
pooled,1.0,0.34469552878299453,-0.1660802490203772,0.7492835706496892,0.2537901193906711,-0.41169123895384363,0.78378999139947,0.5910012971059462
pz,1.0,0.3227688332594745,-0.3889460902541238,0.7588025476663366,0.4139228805676746,-0.39516575117962066,0.803348898328828,0.3223554347233108
