zone,is_tumor,n_rois,NUTS_mean_D_0.25,NUTS_mean_D_3.00,MAP_mean_D_0.25_lam0.0001,MAP_mean_D_3.00_lam0.0001,MAP_mean_D_0.25_lam0.001,MAP_mean_D_3.00_lam0.001,MAP_mean_D_0.25_lam0.01,MAP_mean_D_3.00_lam0.01,MAP_mean_D_0.25_lam0.05,MAP_mean_D_3.00_lam0.05,MAP_mean_D_0.25_lam0.1,MAP_mean_D_3.00_lam0.1,MAP_mean_D_0.25_lam0.5,MAP_mean_D_3.00_lam0.5
pz,False,54,0.05715753312287837,0.4752601594056229,0.07066837246260976,0.41842632032533844,0.0776084022294326,0.3888473094583327,0.07457523053613589,0.31894936026092396,0.0398951892575627,0.2624649487166495,0.02530946352514912,0.23531767398474268,0.01926230095270885,0.19000918147365825
pz,True,27,0.1661485292893643,0.20964688075166546,0.1805024511354514,0.16715789168122588,0.18708521728520344,0.1987722222365443,0.1632297910571731,0.21962840899477054,0.13164830492773585,0.18755768699522268,0.11948680213525013,0.16941412298707761,0.11066058953684765,0.1395074451876352
tz,False,55,0.08502563663364085,0.298758257411186,0.09656406115769339,0.29557671460602114,0.09913839363983952,0.29593630376183544,0.08780123360021297,0.26981674996249594,0.05929749084082908,0.2259060773667304,0.04742444353723304,0.20564408942886347,0.04384557139044136,0.17111621900349322
tz,True,13,0.2502198280975319,0.14486453698803292,0.2660799277642443,0.11104493663303378,0.2636879260531039,0.12528607638561848,0.2338296957475571,0.16010002852492503,0.20656316495224855,0.14254789974424045,0.19503262160985663,0.13051074555249007,0.1782918636746573,0.1098690556851085
