roi_id,mode,bin,D,R_mean,R_std,R_q05,R_q95,sigma_mean,sigma_std
new51_pz_tumor,free,0,0.25,0.2234846745620839,0.017266535684010525,0.1929914877039305,0.24602088552430898,0.005729848972231996,0.0015051109985190715
new51_pz_tumor,free,1,0.5,0.03747045976564499,0.033800838953541586,0.0021936957537058337,0.1028315497094383,0.005729848972231996,0.0015051109985190715
new51_pz_tumor,free,2,0.75,0.041061344239456704,0.03473840114413085,0.0024927775508168074,0.11104558434129817,0.005729848972231996,0.0015051109985190715
new51_pz_tumor,free,3,1.0,0.05314993854932305,0.04310286546351917,0.0032992071819835057,0.1369948175838442,0.005729848972231996,0.0015051109985190715
new51_pz_tumor,free,4,1.5,0.131737548908762,0.09152912366125539,0.011748347546036843,0.3030920987441673,0.005729848972231996,0.0015051109985190715
new51_pz_tumor,free,5,2.0,0.25239774976022655,0.13411576887941068,0.030722679508991994,0.45818297459179114,0.005729848972231996,0.0015051109985190715
new51_pz_tumor,free,6,3.0,0.14934143338508815,0.09332547048552019,0.01704476864640771,0.31740202705227244,0.005729848972231996,0.0015051109985190715
new51_pz_tumor,free,7,20.0,0.11135685082941385,0.02115111279761983,0.0741221439233041,0.14326288539385604,0.005729848972231996,0.0015051109985190715
new51_pz_tumor,fixed_formula,0,0.25,0.23025422666588494,0.01261405020972993,0.206954695510943,0.2479227807826799,0.0040666285422027,0.0
new51_pz_tumor,fixed_formula,1,0.5,0.02987297478534699,0.02608941168606406,0.001813741300847844,0.08258645922483256,0.0040666285422027,0.0
new51_pz_tumor,fixed_formula,2,0.75,0.03225292233896458,0.026985460916398932,0.0019515482699306295,0.08482146525147959,0.0040666285422027,0.0
new51_pz_tumor,fixed_formula,3,1.0,0.04619701340564767,0.0374243618780865,0.0031513576817453494,0.12067022616321832,0.0040666285422027,0.0
new51_pz_tumor,fixed_formula,4,1.5,0.14586732055489307,0.09871933906606338,0.011165090413827147,0.3307384976008367,0.0040666285422027,0.0
new51_pz_tumor,fixed_formula,5,2.0,0.28426756304524425,0.13217256684271111,0.039373789174859626,0.47988943384485067,0.0040666285422027,0.0
new51_pz_tumor,fixed_formula,6,3.0,0.11505545053877157,0.07440766776118522,0.011150819232427138,0.24583162290525362,0.0040666285422027,0.0
new51_pz_tumor,fixed_formula,7,20.0,0.11623252866524676,0.015294337456495267,0.08974014387930293,0.14038311557839667,0.0040666285422027,0.0
new51_pz_tumor,fixed_residual,0,0.25,0.2045492264274096,0.02671959955072825,0.1539649333693437,0.2414627289678415,0.0109834603364873,0.0
new51_pz_tumor,fixed_residual,1,0.5,0.06197025742921767,0.05110582207346634,0.004805252256466347,0.16503174845516286,0.0109834603364873,0.0
new51_pz_tumor,fixed_residual,2,0.75,0.056739969382387,0.04856696465516818,0.0032040953527790596,0.1552662299049576,0.0109834603364873,0.0
new51_pz_tumor,fixed_residual,3,1.0,0.06465581557915391,0.0532330768784756,0.0038775778401418325,0.17003070863323594,0.0109834603364873,0.0
new51_pz_tumor,fixed_residual,4,1.5,0.11249233093135583,0.08685414455939701,0.007364754705077971,0.28225186307792904,0.0109834603364873,0.0
new51_pz_tumor,fixed_residual,5,2.0,0.1820429683481417,0.12312189385264459,0.014013409923176812,0.4037912565654889,0.0109834603364873,0.0
new51_pz_tumor,fixed_residual,6,3.0,0.21358348015593412,0.11313931121139628,0.03443471221129668,0.40794966837834984,0.0109834603364873,0.0
new51_pz_tumor,fixed_residual,7,20.0,0.10396595174640008,0.03606669351671541,0.041227755292338804,0.1615513983590626,0.0109834603364873,0.0
new55_pz_tumor,free,0,0.25,0.5082006995014545,0.022388079703910595,0.46770146636356597,0.5393258142604831,0.007954640979090766,0.001845414990093222
new55_pz_tumor,free,1,0.5,0.05535606743353346,0.04459744958263452,0.003344561529964116,0.14125443607817903,0.007954640979090766,0.001845414990093222
new55_pz_tumor,free,2,0.75,0.048329504458472734,0.03824962600565211,0.0031744262805122703,0.12352040594254113,0.007954640979090766,0.001845414990093222
new55_pz_tumor,free,3,1.0,0.05143007945355944,0.041005626044597614,0.003083124196954335,0.12996087870438278,0.007954640979090766,0.001845414990093222
new55_pz_tumor,free,4,1.5,0.06688363202128664,0.051921340237444165,0.0038627017848468603,0.16923320034293673,0.007954640979090766,0.001845414990093222
new55_pz_tumor,free,5,2.0,0.07907369698586365,0.05767185460981304,0.006566350263436234,0.18557637493347467,0.007954640979090766,0.001845414990093222
new55_pz_tumor,free,6,3.0,0.09239198125117724,0.056560876347414676,0.011347752686479428,0.19366277643792962,0.007954640979090766,0.001845414990093222
new55_pz_tumor,free,7,20.0,0.09833433889465246,0.02284312022793611,0.060469006285608,0.13417216091849038,0.007954640979090766,0.001845414990093222
new55_pz_tumor,fixed_formula,0,0.25,0.5308167325053875,0.0033092021564401844,0.5249717446944335,0.535657200805132,0.0008137042635964,0.0
new55_pz_tumor,fixed_formula,1,0.5,0.007293788130611906,0.0073146324095606525,0.0003279436942817675,0.021587354893861637,0.0008137042635964,0.0
new55_pz_tumor,fixed_formula,2,0.75,0.01678799702128087,0.016193381920838305,0.0009202811933916298,0.04939928954595747,0.0008137042635964,0.0
new55_pz_tumor,fixed_formula,3,1.0,0.1407097279026923,0.033798965493091825,0.07635793131830558,0.18725909330762214,0.0008137042635964,0.0
new55_pz_tumor,fixed_formula,4,1.5,0.0614260301839659,0.03600376379009111,0.00802974868455323,0.1257638608924446,0.0008137042635964,0.0
new55_pz_tumor,fixed_formula,5,2.0,0.02485160861313282,0.022620906846271424,0.0014946716746999573,0.07049718242320357,0.0008137042635964,0.0
new55_pz_tumor,fixed_formula,6,3.0,0.12313703914066268,0.018914894285335562,0.09080441523392363,0.15193484091808696,0.0008137042635964,0.0
new55_pz_tumor,fixed_formula,7,20.0,0.09497707650226642,0.003989647483278832,0.08854694159359727,0.10177338154860906,0.0008137042635964,0.0
new55_pz_tumor,fixed_residual,0,0.25,0.4978342130337432,0.031141236743595674,0.4407152482085863,0.5432912588713685,0.0148756959249378,0.0
new55_pz_tumor,fixed_residual,1,0.5,0.06688975856591022,0.05521741726704119,0.0045038492483639,0.17756075616406036,0.0148756959249378,0.0
new55_pz_tumor,fixed_residual,2,0.75,0.05462885104280059,0.0453075442510221,0.0036032366493128167,0.14669899730523525,0.0148756959249378,0.0
new55_pz_tumor,fixed_residual,3,1.0,0.05337551077917245,0.044213210164671356,0.0035048928122503324,0.14353938614125872,0.0148756959249378,0.0
new55_pz_tumor,fixed_residual,4,1.5,0.0628517856481505,0.050785342127009046,0.003997794369924171,0.1612787284463809,0.0148756959249378,0.0
new55_pz_tumor,fixed_residual,5,2.0,0.07347104376268539,0.05737689824996134,0.004440575032247207,0.1867903219763456,0.0148756959249378,0.0
new55_pz_tumor,fixed_residual,6,3.0,0.09376177191635031,0.0626459257171,0.00901238996917936,0.2081872144599652,0.0148756959249378,0.0
new55_pz_tumor,fixed_residual,7,20.0,0.09718706525118734,0.0351893739768539,0.038058682411647185,0.15529618348703883,0.0148756959249378,0.0
new35_pz_normal,free,0,0.25,0.07212934271749188,0.0034346390233975684,0.06591589726396838,0.07697980191685627,0.0006489507750160362,0.0001807820686997644
new35_pz_normal,free,1,0.5,0.010825509300960493,0.008487232896961794,0.0008682324699915891,0.02740869280339373,0.0006489507750160362,0.0001807820686997644
new35_pz_normal,free,2,0.75,0.011081755499359986,0.00897085974249011,0.0006168340975679304,0.028966068261603826,0.0006489507750160362,0.0001807820686997644
new35_pz_normal,free,3,1.0,0.016263814634141515,0.012928054493772136,0.0012516756189799609,0.04083947337657114,0.0006489507750160362,0.0001807820686997644
new35_pz_normal,free,4,1.5,0.05399456531324681,0.04375289794595509,0.0031326441022338043,0.13467708941578468,0.0006489507750160362,0.0001807820686997644
new35_pz_normal,free,5,2.0,0.3986091631148332,0.06215322087210767,0.28923656883996063,0.478496412853353,0.0006489507750160362,0.0001807820686997644
new35_pz_normal,free,6,3.0,0.39577619561761945,0.03012672961792011,0.35401946317484473,0.4464827562838037,0.0006489507750160362,0.0001807820686997644
new35_pz_normal,free,7,20.0,0.04131965380234695,0.003858420336403703,0.034732162974869696,0.04732020956289207,0.0006489507750160362,0.0001807820686997644
new35_pz_normal,fixed_formula,0,0.25,0.06532565155004037,0.007476740463473034,0.05161879479894255,0.07562447629199177,0.0023036491348836,0.0
