zone,n,feature,rho_unconditional,p_unconditional,rho_partial_given_adc,p_partial_given_adc,partial_ci_lo,partial_ci_hi,rho_adc_vs_ggg,p_adc_vs_ggg
pooled,29,nuts_D_0.25,0.43689783236992713,0.017799572406751302,-0.08792474838846236,0.6563880647483957,-0.4425100890215401,0.3549098279312804,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_D_0.50,0.5651685482792475,0.0014004113698141431,0.42031561278144974,0.025947260407141348,0.006709428118306088,0.6757772357920047,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_D_0.75,0.51204633259963,0.0045174412501176806,0.3625652659382217,0.0579417767769308,0.013217477667988468,0.5951863698546327,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_D_1.00,0.34490570277839444,0.06689762418305888,0.16963480096476166,0.38814977738127476,-0.16714857330248437,0.5034447459403245,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_D_1.50,-0.20782447304904011,0.2793387749616446,-0.23498927843190903,0.22870571996745492,-0.5988653733112357,0.17476405394944783,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_D_2.00,-0.473953816965953,0.009396002353753645,-0.23010067698062142,0.2388147112335699,-0.5281009769332766,0.06204131934449434,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_D_3.00,-0.15651618668531198,0.4174774774548601,0.2896135842609687,0.13494806072061394,-0.10078001883583253,0.5683575814757151,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_D_20.00,-0.25006311283332133,0.19077261454082556,-0.17436860415265282,0.3748467346440294,-0.5321451118071473,0.19651352779622533,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_std_D_0.25,0.4993488273884043,0.005819489581150696,0.3475634056680547,0.06994659688187643,-0.03690777062263887,0.6219981190563587,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_std_D_0.50,0.5662050793168985,0.001366091959789578,0.3990237109787254,0.0354276881143214,0.040381926971318635,0.6459074573641684,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_std_D_0.75,0.46151544451414017,0.01173241343259836,0.29603654233206844,0.12612118002455275,-0.00011868407144480488,0.5402325117284009,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_std_D_1.00,0.3511248890043009,0.061809810407153,0.20277376079412193,0.30073485510409714,-0.15911682651947595,0.5209641030299722,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_std_D_1.50,-0.13371250385698838,0.48924802427139,-0.10729863615168407,0.586814363414998,-0.4773439860492799,0.3167455076910885,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_std_D_2.00,-0.35863973902727114,0.05607068008269421,-0.023055910631394727,0.9072932550823705,-0.39428104290803334,0.36169793583487053,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_std_D_3.00,-0.24384392660741486,0.20240704111093022,0.22260713555344702,0.25487826643784883,-0.20187456370271892,0.5288419467823684,-0.5462518568421153,0.0021722968528588306
pooled,29,nuts_std_D_20.00,0.10676269687806049,0.5814798228450508,0.3136955361080704,0.10404020844183548,-0.06829418884128396,0.5880132901235475,-0.5462518568421153,0.0021722968528588306
pz,21,nuts_D_0.25,0.31936942112320676,0.15818745386208796,-0.15079431788008182,0.5256923616685727,-0.5157468064365006,0.3433273878194174,-0.4801069979082933,0.027614878614674085
pz,21,nuts_D_0.50,0.5755668688374276,0.006331075736680991,0.4789605998790729,0.03263156633682551,0.01708652014124704,0.7478315281765926,-0.4801069979082933,0.027614878614674085
pz,21,nuts_D_0.75,0.530644576635482,0.01332957527007828,0.4175623751847369,0.06696889410377471,-0.01792221248377381,0.7173975091074116,-0.4801069979082933,0.027614878614674085
pz,21,nuts_D_1.00,0.26953375321167344,0.23738394800748708,0.10422155813821585,0.6619113839524253,-0.3027949157194609,0.4800202136804707,-0.4801069979082933,0.027614878614674085
pz,21,nuts_D_1.50,-0.09195031685085735,0.6918032443254143,-0.2708564111639813,0.24806428089159605,-0.6529843505413797,0.21059549023354324,-0.4801069979082933,0.027614878614674085
pz,21,nuts_D_2.00,-0.44150190304724635,0.045109013312194884,-0.30269487028091985,0.19455700958019762,-0.704687217415594,0.07131026393769248,-0.4801069979082933,0.027614878614674085
pz,21,nuts_D_3.00,-0.08001783298471556,0.7302538437377628,0.3636056983292813,0.11505140665842473,-0.19160216399732113,0.6794674415455733,-0.4801069979082933,0.027614878614674085
pz,21,nuts_D_20.00,-0.03649936241408078,0.8751889860741628,0.04714532870989569,0.8435352661585094,-0.4043626054802482,0.5121737927873192,-0.4801069979082933,0.027614878614674085
