*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (18:53) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    :                                                           
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   256  (x:000, y:000)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 280.0              
* IROI(s)            : Tumor PZ ( Red       )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      12.6 pixel,        13.83 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1     4236.2     5933.0     2605.0      482.9      125.5     150.13      636.0 
          2      783.1     1105.0      347.0      164.4      125.5     150.13      117.6 
          3      874.1     1130.0      425.0      141.9      125.5     150.13      131.2 
          4     1033.6     1329.0      494.0      182.4      125.5     150.13      155.2 
          5     1057.4     1435.0      531.0      189.9      125.5     150.13      158.8 
          6     1216.0     1611.0      673.0      199.8      125.5     150.13      182.6 
          7     1236.6     1641.0      470.0      216.1      125.5     150.13      185.7 
          8     1385.0     1819.0      823.0      224.1      125.5     150.13      207.9 
          9     1548.4     1993.0      865.0      255.9      125.5     150.13      232.5 
         10     1634.4     2109.0      846.0      250.7      125.5     150.13      245.4 
         11     1854.2     2332.0     1106.0      276.3      125.5     150.13      278.4 
         12     2039.1     2554.0     1139.0      290.0      125.5     150.13      306.1 
         13     2297.6     2823.0     1381.0      301.4      125.5     150.13      344.9 
         14     2608.7     3246.0     1627.0      345.0      125.5     150.13      391.7 
         15     2967.2     3643.0     1826.0      380.6      125.5     150.13      445.5 
         16     3453.7     4167.0     2217.0      424.6      125.5     150.13      518.5 
         17      771.7     1066.0      205.0      145.7      125.5     150.13      115.9 
         18      943.7     1203.0      392.0      168.5      125.5     150.13      141.7 
         19     1017.6     1400.0      376.0      216.5      125.5     150.13      152.8 
         20     1136.5     1441.0      478.0      190.6      125.5     150.13      170.6 
         21     1155.1     1523.0      487.0      203.5      125.5     150.13      173.4 
         22     1274.3     1711.0      425.0      256.0      125.5     150.13      191.3 
         23     1410.7     1912.0      469.0      287.1      125.5     150.13      211.8 
         24     1543.3     2098.0      596.0      297.5      125.5     150.13      231.7 
         25     1701.2     2239.0      788.0      296.2      125.5     150.13      255.4 
         26     1730.2     2237.0      864.0      305.7      125.5     150.13      259.8 
         27     1979.2     2557.0      871.0      350.0      125.5     150.13      297.1 
         28     2272.2     2958.0     1276.0      370.1      125.5     150.13      341.1 
         29     2571.1     3259.0     1596.0      370.4      125.5     150.13      386.0 
         30     2883.0     3631.0     1528.0      434.2      125.5     150.13      432.8 
         31     3454.8     4275.0     2038.0      468.7      125.5     150.13      518.7 
         32      891.8     1177.0      314.0      179.9      125.5     150.13      133.9 
         33      918.9     1247.0      278.0      196.8      125.5     150.13      138.0 
         34      867.3     1288.0       66.0      240.5      125.5     150.13      130.2 
         35     1033.0     1392.0      244.0      223.9      125.5     150.13      155.1 
         36     1095.9     1532.0      200.0      280.5      125.5     150.13      164.5 
         37     1117.6     1602.0      233.0      274.9      125.5     150.13      167.8 
         38     1316.1     1863.0      337.0      295.5      125.5     150.13      197.6 
         39     1522.1     2058.0      471.0      304.9      125.5     150.13      228.5 
         40     1685.7     2331.0      535.0      344.3      125.5     150.13      253.1 
         41     1823.3     2495.0      646.0      367.9      125.5     150.13      273.7 
         42     1944.4     2601.0      790.0      383.3      125.5     150.13      291.9 
         43     2253.4     2961.0     1087.0      398.6      125.5     150.13      338.3 
         44     2498.7     3240.0     1162.0      434.2      125.5     150.13      375.1 
         45     2821.7     3623.0     1322.0      496.3      125.5     150.13      423.6 
         46     3412.6     4377.0     1723.0      561.8      125.5     150.13      512.4 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     1766.8     2308.0      851.6      297.2      125.5     150.13      265.3 
*    STDDEV      845.0     1065.1      596.1      102.0        0.0       0.00      126.9 
*       MAX     4236.2     5933.0     2605.0      561.8      125.5     150.13      636.0 
*       MIN      771.7     1066.0       66.0      141.9      125.5     150.13      115.9 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
