*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (19:16) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    :                                                           
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   128  (x:064, y:074)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 140.0              
* IROI(s)            : Normal PZ (Green        )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      11.4 pixel,        12.45 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1     5766.2     7808.0     2790.0      880.9      101.8     121.72      701.9 
          2      396.9      594.0      172.0       79.8      101.8     121.72       48.3 
          3      431.7      619.0      168.0       99.0      101.8     121.72       52.6 
          4      439.0      688.0      263.0       68.4      101.8     121.72       53.4 
          5      556.1      755.0      351.0       72.8      101.8     121.72       67.7 
          6      553.3      886.0      359.0       98.3      101.8     121.72       67.3 
          7      652.7     1002.0      424.0       96.2      101.8     121.72       79.4 
          8      697.6     1286.0      309.0      194.6      101.8     121.72       84.9 
          9      947.1     1468.0      538.0      210.6      101.8     121.72      115.3 
         10     1159.9     1883.0      667.0      251.6      101.8     121.72      141.2 
         11     1331.5     2373.0      679.0      350.6      101.8     121.72      162.1 
         12     1672.3     2962.0      945.0      448.5      101.8     121.72      203.6 
         13     2123.9     3712.0     1195.0      511.7      101.8     121.72      258.5 
         14     2668.5     4465.0     1675.0      564.6      101.8     121.72      324.8 
         15     3692.1     5918.0     2190.0      717.9      101.8     121.72      449.4 
         16     5164.8     8358.0     2965.0     1122.7      101.8     121.72      628.7 
         17      573.4     1040.0      192.0      158.4      101.8     121.72       69.8 
         18      519.1     1105.0      105.0      225.0      101.8     121.72       63.2 
         19      583.1     1257.0      212.0      219.6      101.8     121.72       71.0 
         20      691.8     1245.0      332.0      190.9      101.8     121.72       84.2 
         21      820.6     1305.0      241.0      191.3      101.8     121.72       99.9 
         22      840.7     1475.0      307.0      196.3      101.8     121.72      102.3 
         23      882.1     1693.0      337.0      258.5      101.8     121.72      107.4 
         24     1074.9     1901.0      402.0      270.9      101.8     121.72      130.8 
         25     1219.3     2125.0      587.0      300.0      101.8     121.72      148.4 
         26     1422.1     2399.0      655.0      339.4      101.8     121.72      173.1 
         27     1633.3     2861.0      638.0      434.4      101.8     121.72      198.8 
         28     2078.7     3491.0      971.0      471.8      101.8     121.72      253.0 
         29     2721.6     4447.0     1266.0      564.6      101.8     121.72      331.3 
         30     3728.6     5732.0     1895.0      680.2      101.8     121.72      453.9 
         31     5073.0     8120.0     2757.0      967.6      101.8     121.72      617.5 
         32      534.2      859.0      228.0      149.2      101.8     121.72       65.0 
         33      530.8      927.0      187.0      122.8      101.8     121.72       64.6 
         34      578.6      821.0      224.0      108.0      101.8     121.72       70.4 
         35      610.4      960.0      130.0      152.0      101.8     121.72       74.3 
         36      682.7     1068.0      207.0      176.7      101.8     121.72       83.1 
         37      697.1     1307.0      243.0      205.7      101.8     121.72       84.9 
         38      783.6     1310.0      240.0      219.6      101.8     121.72       95.4 
         39      896.7     1707.0      367.0      282.7      101.8     121.72      109.2 
         40     1031.3     1777.0      436.0      281.5      101.8     121.72      125.5 
         41     1229.8     1885.0      521.0      290.5      101.8     121.72      149.7 
         42     1551.2     2630.0      607.0      433.8      101.8     121.72      188.8 
         43     1858.3     2962.0      835.0      397.9      101.8     121.72      226.2 
         44     2562.2     4219.0     1308.0      595.0      101.8     121.72      311.9 
         45     2967.1     4804.0     1193.0      661.7      101.8     121.72      361.2 
         46     2984.1     3987.0     1707.0      365.3      101.8     121.72      363.2 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     1556.8     2526.0      761.3      340.9      101.8     121.72      189.5 
*    STDDEV     1343.3     2034.3      749.2      245.9        0.0       0.00      163.5 
*       MAX     5766.2     8358.0     2965.0     1122.7      101.8     121.72      701.9 
*       MIN      396.9      594.0      105.0       68.4      101.8     121.72       48.3 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
