*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (18:45) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    :                                                           
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   128  (x:059, y:072)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 140.0              
* IROI(s)            : Tumor PZ ( Red       )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :       8.0 pixel,         8.71 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1     9233.8    10759.0     7664.0      817.6       49.8      59.52      549.6 
          2     1296.4     1790.0      532.0      279.0       49.8      59.52       77.2 
          3     1375.1     1885.0      621.0      300.9       49.8      59.52       81.8 
          4     1467.5     1987.0      541.0      317.3       49.8      59.52       87.3 
          5     1573.2     2075.0      645.0      309.8       49.8      59.52       93.6 
          6     1653.9     2357.0      584.0      415.7       49.8      59.52       98.4 
          7     1744.2     2237.0      808.0      297.2       49.8      59.52      103.8 
          8     1807.8     2318.0      786.0      309.3       49.8      59.52      107.6 
          9     2081.8     2737.0      999.0      365.7       49.8      59.52      123.9 
         10     2157.4     2880.0      842.0      453.5       49.8      59.52      128.4 
         11     2585.0     3522.0      978.0      536.7       49.8      59.52      153.8 
         12     2825.5     3555.0     1282.0      448.5       49.8      59.52      168.2 
         13     3239.3     3866.0     1742.0      404.1       49.8      59.52      192.8 
         14     3818.8     4470.0     2118.0      429.5       49.8      59.52      227.3 
         15     4718.2     5267.0     3123.0      366.9       49.8      59.52      280.8 
         16     5850.4     6397.0     4527.0      359.4       49.8      59.52      348.2 
         17     1233.3     1758.0      161.0      356.2       49.8      59.52       73.4 
         18     1284.5     1811.0      262.0      363.5       49.8      59.52       76.5 
         19     1329.5     1883.0      336.0      362.1       49.8      59.52       79.1 
         20     1503.9     2062.0      426.0      373.6       49.8      59.52       89.5 
         21     1556.5     2214.0      369.0      441.8       49.8      59.52       92.6 
         22     1706.5     2345.0      456.0      427.9       49.8      59.52      101.6 
         23     1833.7     2460.0      579.0      426.7       49.8      59.52      109.1 
         24     2057.0     2626.0      867.0      393.4       49.8      59.52      122.4 
         25     2226.2     2854.0      929.0      425.4       49.8      59.52      132.5 
         26     2499.6     3099.0     1301.0      404.9       49.8      59.52      148.8 
         27     2777.5     3327.0     1349.0      388.7       49.8      59.52      165.3 
         28     3322.7     3951.0     1836.0      418.0       49.8      59.52      197.8 
         29     3904.2     4532.0     2306.0      409.1       49.8      59.52      232.4 
         30     4885.1     5582.0     3207.0      417.5       49.8      59.52      290.7 
         31     6007.4     6723.0     4724.0      401.4       49.8      59.52      357.5 
         32     1218.4     1903.0      245.0      442.5       49.8      59.52       72.5 
         33     1129.3     1688.0      250.0      340.7       49.8      59.52       67.2 
         34     1256.9     1904.0      256.0      436.3       49.8      59.52       74.8 
         35     1457.6     2152.0      333.0      463.7       49.8      59.52       86.8 
         36     1528.8     2238.0      423.0      490.7       49.8      59.52       91.0 
         37     1550.9     2389.0      209.0      568.2       49.8      59.52       92.3 
         38     1475.3     2263.0      387.0      466.6       49.8      59.52       87.8 
         39     1911.5     2566.0      648.0      473.0       49.8      59.52      113.8 
         40     2305.0     3121.0      719.0      573.3       49.8      59.52      137.2 
         41     2542.6     3328.0      877.0      559.4       49.8      59.52      151.3 
         42     2968.5     3947.0     1191.0      636.7       49.8      59.52      176.7 
         43     3321.0     4142.0     1386.0      614.7       49.8      59.52      197.6 
         44     4001.5     4767.0     1849.0      574.0       49.8      59.52      238.2 
         45     4804.9     5336.0     2592.0      483.3       49.8      59.52      286.0 
         46     5948.7     6524.0     4079.0      466.0       49.8      59.52      354.0 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     2673.4     3339.1     1355.3      435.0       49.8      59.52      159.1 
*    STDDEV     1682.5     1773.6     1485.4      102.4        0.0       0.00      100.1 
*       MAX     9233.8    10759.0     7664.0      817.6       49.8      59.52      549.6 
*       MIN     1129.3     1688.0      161.0      279.0       49.8      59.52       67.2 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
