*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (17:53) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    :                                                    
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   128  (x:065, y:092)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 140.0              
* IROI(s)            : Normal PZ (Green        )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      19.1 pixel,        20.94 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1    25212.7    32767.0    11852.0     5403.3      287.8     344.31     8680.9 
          2      433.0     1173.0        0.0      263.7      287.8     344.31      149.1 
          3      458.1     1343.0       11.0      263.6      287.8     344.31      157.7 
          4      531.2     1202.0        2.0      275.8      287.8     344.31      182.9 
          5      513.1     1171.0        3.0      274.1      287.8     344.31      176.7 
          6      592.8     1332.0       18.0      292.1      287.8     344.31      204.1 
          7      585.9     1488.0       40.0      249.4      287.8     344.31      201.7 
          8      755.0     1613.0      242.0      244.1      287.8     344.31      260.0 
          9      880.6     1794.0      177.0      338.6      287.8     344.31      303.2 
         10     1149.4     1886.0      580.0      321.7      287.8     344.31      395.8 
         11     1508.0     2737.0      499.0      428.4      287.8     344.31      519.2 
         12     2259.7     3329.0      886.0      488.1      287.8     344.31      778.0 
         13     3381.8     4659.0     1407.0      661.4      287.8     344.31     1164.4 
         14     5373.2     7354.0     2641.0     1057.6      287.8     344.31     1850.0 
         15     8660.8    11855.0     3659.0     1746.9      287.8     344.31     2982.0 
         16    14876.4    20345.0     6031.0     3221.5      287.8     344.31     5122.0 
         17      563.0     1278.0        2.0      239.7      287.8     344.31      193.8 
         18      558.6     1129.0       17.0      256.9      287.8     344.31      192.3 
         19      604.1     1371.0        0.0      280.1      287.8     344.31      208.0 
         20      620.3     1410.0       22.0      289.3      287.8     344.31      213.6 
         21      683.9     1311.0        0.0      239.3      287.8     344.31      235.5 
         22      774.2     1520.0      169.0      252.4      287.8     344.31      266.5 
         23      890.6     1618.0      257.0      293.5      287.8     344.31      306.7 
         24     1028.3     2034.0      199.0      292.6      287.8     344.31      354.1 
         25     1326.3     2159.0      407.0      318.5      287.8     344.31      456.6 
         26     1646.6     2574.0      867.0      279.2      287.8     344.31      566.9 
         27     2507.1     3259.0     1354.0      388.9      287.8     344.31      863.2 
         28     3699.3     4740.0     1850.0      577.2      287.8     344.31     1273.7 
         29     5764.1     7737.0     2746.0     1109.5      287.8     344.31     1984.6 
         30     9020.4    12536.0     4203.0     1843.9      287.8     344.31     3105.8 
         31    14764.5    20952.0     6628.0     3263.3      287.8     344.31     5083.5 
         32      442.3     1186.0        1.0      262.0      287.8     344.31      152.3 
         33      459.7     1453.0        1.0      299.0      287.8     344.31      158.3 
         34      477.3     1317.0        2.0      275.0      287.8     344.31      164.3 
         35      601.0     1507.0      109.0      232.3      287.8     344.31      206.9 
         36      534.0     1319.0        5.0      266.1      287.8     344.31      183.8 
         37      724.2     1746.0      110.0      292.0      287.8     344.31      249.3 
         38      844.8     1796.0      123.0      359.5      287.8     344.31      290.9 
         39      956.9     2226.0      312.0      331.2      287.8     344.31      329.5 
         40     1191.2     2767.0      334.0      376.9      287.8     344.31      410.1 
         41     1585.4     3108.0      750.0      455.0      287.8     344.31      545.9 
         42     2403.6     3893.0     1228.0      491.5      287.8     344.31      827.6 
         43     3603.8     4970.0     1814.0      709.5      287.8     344.31     1240.8 
         44     5624.8     7625.0     2758.0     1094.1      287.8     344.31     1936.7 
         45     9284.9    12383.0     4085.0     1780.4      287.8     344.31     3196.8 
         46    15221.0    20886.0     6627.0     3154.1      287.8     344.31     5240.7 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     3382.1     4996.9     1413.7      779.0      287.8     344.31     1164.5 
*    STDDEV     5152.7     6727.4     2394.4     1054.3        0.0       0.00     1774.1 
*       MAX    25212.7    32767.0    11852.0     5403.3      287.8     344.31     8680.9 
*       MIN      433.0     1129.0        0.0      232.3      287.8     344.31      149.1 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
